gene_id	go_id
Potri.001G014100	GO:0005524
Potri.001G014100	GO:0006468
Potri.001G014400	GO:0004672
Potri.001G014400	GO:0005524
Potri.001G014400	GO:0006468
Potri.001G014600	GO:0004672
Potri.001G014600	GO:0005524
Potri.001G014600	GO:0006468
Potri.001G014700	GO:0004672
Potri.001G014700	GO:0005524
Potri.001G014700	GO:0006468
Potri.001G014800	GO:0004672
Potri.001G014800	GO:0005524
Potri.001G014800	GO:0006468
Potri.001G015100	GO:0004553
Potri.001G015100	GO:0005975
Potri.001G015300	GO:0005515
Potri.001G015300	GO:0016702
Potri.001G015300	GO:0046872
Potri.001G015300	GO:0055114
Potri.001G015400	GO:0005515
Potri.001G015400	GO:0016702
Potri.001G015400	GO:0046872
Potri.001G015400	GO:0055114
Potri.001G015500	GO:0005515
Potri.001G015500	GO:0016702
Potri.001G015500	GO:0046872
Potri.001G015500	GO:0055114
Potri.001G015600	GO:0005515
Potri.001G015600	GO:0016702
Potri.001G015600	GO:0046872
Potri.001G015600	GO:0055114
Potri.001G015700	GO:0005515
Potri.001G016300	GO:0008152
Potri.001G016300	GO:0016758
Potri.001G016400	GO:0008152
Potri.001G016400	GO:0016758
Potri.001G016500	GO:0008152
Potri.001G016500	GO:0016758
Potri.001G016700	GO:0000786
Potri.001G016700	GO:0003677
Potri.001G016900	GO:0000786
Potri.001G016900	GO:0003677
Potri.001G017400	GO:0006355
Potri.001G018000	GO:0004672
Potri.001G018000	GO:0005524
Potri.001G018000	GO:0006468
Potri.001G018300	GO:0004672
Potri.001G018300	GO:0005524
Potri.001G018300	GO:0006468
Potri.001G018400	GO:0003700
Potri.001G018400	GO:0006355
Potri.001G018400	GO:0007275
Potri.001G018600	GO:0003677
Potri.001G018600	GO:0008270
Potri.001G018700	GO:0004672
Potri.001G018700	GO:0005524
Potri.001G018700	GO:0006468
Potri.001G018800	GO:0016020
Potri.001G018800	GO:0030001
Potri.001G018800	GO:0046873
Potri.001G018800	GO:0055085
Potri.001G019000	GO:0019867
Potri.001G019100	GO:0000166
Potri.001G019100	GO:0030001
Potri.001G019100	GO:0046872
Potri.001G019600	GO:0005515
Potri.001G019600	GO:0008270
Potri.001G020200	GO:0003700
Potri.001G020200	GO:0006351
Potri.001G020200	GO:0006355
Potri.001G020200	GO:0043565
Potri.001G020300	GO:0003676
Potri.001G020300	GO:0046872
Potri.001G020400	GO:0004190
Potri.001G020400	GO:0006508
Potri.001G020600	GO:0000166
Potri.001G020600	GO:0005516
Potri.001G020600	GO:0046872
Potri.001G020800	GO:0004367
Potri.001G020800	GO:0005975
Potri.001G020800	GO:0006072
Potri.001G020800	GO:0009331
Potri.001G020800	GO:0016616
Potri.001G020800	GO:0046168
Potri.001G020800	GO:0051287
Potri.001G020800	GO:0055114
Potri.001G020900	GO:0009690
Potri.001G020900	GO:0016491
Potri.001G020900	GO:0019139
Potri.001G020900	GO:0050660
Potri.001G020900	GO:0055114
Potri.001G021000	GO:0005515
Potri.001G021900	GO:0005515
Potri.001G022000	GO:0005515
Potri.001G022100	GO:0005515
Potri.001G022200	GO:0005515
Potri.001G022300	GO:0005515
Potri.001G022400	GO:0005515
Potri.001G022900	GO:0005515
Potri.001G023400	GO:0016787
Potri.001G024100	GO:0005516
Potri.001G024400	GO:0000398
Potri.001G024400	GO:0005681
Potri.001G024600	GO:0005515
Potri.001G024800	GO:0005509
Potri.001G024800	GO:0005544
Potri.001G024900	GO:0005509
Potri.001G024900	GO:0005544
Potri.001G025000	GO:0005509
Potri.001G025000	GO:0005544
Potri.001G025200	GO:0005506
Potri.001G025200	GO:0016705
Potri.001G025200	GO:0020037
Potri.001G025200	GO:0055114
Potri.001G025300	GO:0003735
Potri.001G025300	GO:0005840
Potri.001G025300	GO:0006412
Potri.001G025400	GO:0043531
Potri.001G025500	GO:0003677
Potri.001G025500	GO:0003899
Potri.001G025500	GO:0005634
Potri.001G025500	GO:0006351
Potri.001G025600	GO:0005515
Potri.001G025700	GO:0004553
Potri.001G025700	GO:0005975
Potri.001G025700	GO:0030246
Potri.001G025800	GO:0004553
Potri.001G025800	GO:0005975
Potri.001G025800	GO:0030246
Potri.001G026100	GO:0044237
Potri.001G026200	GO:0005634
Potri.001G026200	GO:0006511
Potri.001G026200	GO:0007275
Potri.001G026300	GO:0004590
Potri.001G026300	GO:0006207
Potri.001G026300	GO:0009116
Potri.001G026400	GO:0005096
Potri.001G026400	GO:0005515
Potri.001G026600	GO:0009055
Potri.001G026600	GO:0015035
Potri.001G026600	GO:0045454
Potri.001G026800	GO:0005515
Potri.001G026900	GO:0046872
Potri.001G027000	GO:0000160
Potri.001G027100	GO:0005215
Potri.001G027100	GO:0006810
Potri.001G027100	GO:0016020
Potri.001G027400	GO:0004553
Potri.001G027400	GO:0004565
Potri.001G027400	GO:0005975
Potri.001G027400	GO:0009341
Potri.001G027500	GO:0005515
Potri.001G027900	GO:0016307
Potri.001G027900	GO:0046488
Potri.001G028200	GO:0004190
Potri.001G028200	GO:0006508
Potri.001G028300	GO:0005515
Potri.001G028500	GO:0006662
Potri.001G028500	GO:0015035
Potri.001G028500	GO:0045454
Potri.001G028700	GO:0005515
Potri.001G028700	GO:0007165
Potri.001G028700	GO:0043531
Potri.001G029300	GO:0043531
Potri.001G029400	GO:0003690
Potri.001G029400	GO:0005739
Potri.001G029400	GO:0006355
Potri.001G029500	GO:0016787
Potri.001G029600	GO:0004672
Potri.001G029600	GO:0005524
Potri.001G029600	GO:0006468
Potri.001G029800	GO:0003700
Potri.001G029800	GO:0006351
Potri.001G029800	GO:0006355
Potri.001G029800	GO:0043565
Potri.001G030000	GO:0000413
Potri.001G030000	GO:0003755
Potri.001G030000	GO:0006457
Potri.001G030200	GO:0006479
Potri.001G030200	GO:0008168
Potri.001G030300	GO:0003690
Potri.001G030300	GO:0005739
Potri.001G030300	GO:0006355
Potri.001G030600	GO:0008152
Potri.001G030600	GO:0016758
Potri.001G030700	GO:0003677
Potri.001G030700	GO:0003899
Potri.001G030700	GO:0005634
Potri.001G030700	GO:0006351
Potri.001G030700	GO:0032549
Potri.001G030800	GO:0003677
Potri.001G030800	GO:0003899
Potri.001G030800	GO:0006351
Potri.001G030800	GO:0032549
Potri.001G030900	GO:0008270
Potri.001G031400	GO:0005634
Potri.001G031400	GO:0006351
Potri.001G031400	GO:0006357
Potri.001G031400	GO:0007049
Potri.001G031400	GO:0051726
Potri.001G031500	GO:0006506
Potri.001G031500	GO:0016021
Potri.001G031500	GO:0016758
Potri.001G031600	GO:0016021
Potri.001G032100	GO:0016020
Potri.001G032100	GO:0016021
Potri.001G032100	GO:0022857
Potri.001G032300	GO:0005515
Potri.001G032300	GO:0008270
Potri.001G032500	GO:0016020
Potri.001G032500	GO:0016021
Potri.001G032500	GO:0022857
Potri.001G032600	GO:0000226
Potri.001G032600	GO:0000910
Potri.001G032600	GO:0008017
Potri.001G032700	GO:0000226
Potri.001G032700	GO:0000910
Potri.001G032700	GO:0008017
Potri.001G032800	GO:0005506
Potri.001G032800	GO:0016705
Potri.001G032800	GO:0020037
Potri.001G032800	GO:0055114
Potri.001G032900	GO:0004869
Potri.001G033100	GO:0043531
Potri.001G033500	GO:0008152
Potri.001G033500	GO:0016829
Potri.001G033800	GO:0008107
Potri.001G033800	GO:0016020
Potri.001G033800	GO:0042546
Potri.001G033900	GO:0000172
Potri.001G033900	GO:0003723
Potri.001G033900	GO:0004540
Potri.001G033900	GO:0006364
Potri.001G033900	GO:0006379
Potri.001G033900	GO:0008033
Potri.001G033900	GO:0030677
Potri.001G034000	GO:0008107
Potri.001G034000	GO:0016020
Potri.001G034000	GO:0042546
Potri.001G034100	GO:0008107
Potri.001G034100	GO:0016020
Potri.001G034100	GO:0042546
Potri.001G034200	GO:0006464
Potri.001G034200	GO:0015031
